x y z m s
0.03 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 54
0.03 -0.02 -0.02 15 54
0.03 -0.02 -0.02 15 54
0.03 -0.01 -0.02 15 54
0.03 -0.01 -0.02 15 54
0.03 -0.01 -0.01 15 54
0.03 -0.01 -0.01 15 54
0.03 -0.01 -0.01 15 54
0.03 -0.01 -0.01 15 54
0.03 -0 -0.01 15 54
0.03 -0 -0.01 15 54
0.03 -0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 55
0.03 0.01 -0.01 15 55
0.03 0.01 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0 15 56
0.03 0.03 0 15 56
0.03 0.04 0.02 15 56
0.03 0.04 0.03 15 56
0.04 0.04 0.04 15 56
0.04 0.05 0.05 15 56
0.05 0.06 0.08 15 56
0.06 0.07 0.09 15 56
0.08 0.1 0.12 15 56
0.1 0.11 0.13 15 56
0.13 0.14 0.17 15 56
0.15 0.16 0.19 15 57
0.18 0.19 0.24 15 57
0.19 0.21 0.26 15 57
0.23 0.25 0.33 15 57
0.25 0.27 0.35 15 57
0.28 0.3 0.42 15 57
0.3 0.32 0.45 15 57
0.33 0.36 0.53 15 57
0.34 0.37 0.57 15 57
0.37 0.41 0.65 15 57
0.39 0.42 0.69 15 57
0.42 0.45 0.79 15 57
0.43 0.47 0.84 15 57
0.46 0.5 0.93 15 57
0.47 0.51 0.98 15 57
0.49 0.54 1.1 15 57
0.5 0.55 1.15 15 57
0.52 0.58 1.27 15 57
0.54 0.59 1.34 15 57
0.55 0.61 1.46 15 57
0.56 0.62 1.52 15 58
0.58 0.64 1.65 15 58
0.59 0.65 1.72 15 58
0.6 0.67 1.88 15 58
0.61 0.68 1.95 15 58
0.63 0.7 2.09 15 58
0.63 0.7 2.17 15 58
0.65 0.72 2.34 15 58
0.65 0.73 2.42 15 58
0.66 0.74 2.59 15 58
0.67 0.75 2.67 15 58
0.68 0.76 2.87 15 58
0.68 0.77 2.96 15 58
0.69 0.78 3.14 15 58
0.7 0.78 3.23 15 58
0.71 0.79 3.43 15 58
0.71 0.79 3.52 15 58
0.72 0.8 3.7 15 58
0.72 0.8 3.79 15 58
0.73 0.81 3.99 15 58
0.73 0.81 4.08 15 59
0.74 0.82 4.26 15 59
0.74 0.82 4.35 15 59
0.75 0.83 4.55 15 59
0.75 0.83 4.64 15 59
0.76 0.83 4.82 15 59
0.76 0.84 4.92 15 59
0.76 0.84 5.12 15 59
0.77 0.84 5.21 15 59
0.77 0.84 5.39 15 59
0.77 0.84 5.48 15 59
0.78 0.84 5.69 15 59
0.78 0.85 5.78 15 59
0.78 0.85 5.96 15 59
0.78 0.85 6.05 15 59
0.79 0.85 6.26 15 59
0.79 0.85 6.35 15 59
0.79 0.85 6.54 15 59
0.79 0.85 6.63 15 59
0.8 0.85 6.83 16 0
0.8 0.85 6.92 16 0
0.8 0.85 7.11 16 0
0.8 0.85 7.2 16 0
0.8 0.85 7.41 16 0
0.81 0.85 7.5 16 0
0.81 0.85 7.68 16 0
0.81 0.85 7.78 16 0
0.81 0.85 7.98 16 0
0.81 0.86 8.07 16 0
0.82 0.86 8.26 16 0
0.82 0.86 8.35 16 0
0.82 0.86 8.56 16 0
0.82 0.86 8.65 16 0
0.82 0.86 8.83 16 0
0.83 0.86 8.92 16 0
0.83 0.86 9.13 16 0
0.83 0.86 9.22 16 0
0.83 0.87 9.41 16 0
0.83 0.87 9.5 16 0
0.83 0.87 9.71 16 1
0.83 0.87 9.8 16 1
0.83 0.87 9.98 16 1
0.83 0.87 10.08 16 1
0.83 0.88 10.28 16 1
0.83 0.88 10.38 16 1
0.83 0.88 10.56 16 1
0.83 0.88 10.65 16 1
0.83 0.89 10.86 16 1
0.83 0.89 10.95 16 1
0.84 0.89 11.14 16 1
0.84 0.89 11.23 16 1
0.84 0.89 11.44 16 1
0.84 0.89 11.53 16 1
0.84 0.9 11.71 16 1
0.84 0.9 11.8 16 1
0.84 0.9 12.01 16 1
0.84 0.9 12.1 16 1
0.84 0.9 12.29 16 1
0.84 0.9 12.38 16 1
0.84 0.91 12.59 16 2
0.84 0.91 12.68 16 2
0.85 0.91 12.87 16 2
0.85 0.91 12.96 16 2
0.85 0.91 13.17 16 2
0.85 0.92 13.26 16 2
0.85 0.92 13.44 16 2
0.85 0.92 13.54 16 2
0.86 0.92 13.74 16 2
0.86 0.92 13.84 16 2
0.86 0.93 14.02 16 2
0.86 0.93 14.12 16 2
0.87 0.93 14.32 16 2
0.87 0.93 14.41 16 2
0.87 0.93 14.58 16 2
0.87 0.93 14.66 16 2
0.87 0.93 14.83 16 2
0.87 0.93 14.9 16 2
0.87 0.93 15.04 16 2
0.88 0.93 15.11 16 2
0.88 0.93 15.24 16 3
0.88 0.93 15.3 16 3
0.88 0.94 15.42 16 3
0.89 0.94 15.47 16 3
0.89 0.94 15.58 16 3
0.89 0.94 15.63 16 3
0.89 0.94 15.72 16 3
0.9 0.94 15.77 16 3
0.9 0.95 15.85 16 3
0.9 0.95 15.89 16 3
0.9 0.95 15.96 16 3
0.91 0.95 16 16 3
0.91 0.95 16.07 16 3
0.91 0.95 16.1 16 3
0.92 0.96 16.16 16 3
0.92 0.96 16.18 16 3
0.92 0.96 16.24 16 3
0.92 0.96 16.27 16 3
0.93 0.97 16.31 16 3
0.93 0.97 16.33 16 3
0.93 0.97 16.37 16 4
0.94 0.97 16.39 16 4
0.94 0.97 16.43 16 4
0.94 0.98 16.44 16 4
0.94 0.98 16.48 16 4
0.95 0.98 16.49 16 4
0.95 0.98 16.52 16 4
0.95 0.98 16.53 16 4
0.96 0.99 16.55 16 4
0.96 0.99 16.57 16 4
0.96 0.99 16.59 16 4
0.97 0.99 16.6 16 4
0.97 0.99 16.62 16 4
0.97 0.99 16.63 16 4
0.98 1 16.65 16 4
0.98 1 16.66 16 4
0.98 1 16.67 16 4
0.98 1 16.68 16 4
0.99 1 16.7 16 4
0.99 1 16.71 16 4
0.99 1 16.72 16 5
0.99 1 16.73 16 5
1 1 16.74 16 5
1 1 16.75 16 5
1 1 16.76 16 5
1 1 16.77 16 5
1.01 1 16.78 16 5
1.01 1 16.78 16 5
1.01 1 16.79 16 5
1.01 1.01 16.79 16 5
1.01 1.01 16.8 16 5
1.01 1.01 16.8 16 5
1.02 1.01 16.81 16 5
1.02 1.01 16.81 16 5
1.02 1.01 16.82 16 5
1.02 1.01 16.82 16 5
1.02 1.01 16.83 16 5
1.02 1.01 16.83 16 5
1.02 1.01 16.84 16 5
1.02 1.01 16.84 16 6
1.02 1.01 16.85 16 6
1.02 1.01 16.85 16 6
1.02 1.01 16.86 16 6
1.02 1.01 16.86 16 6
1.02 1.01 16.86 16 6
1.02 1.01 16.87 16 6
1.02 1.01 16.87 16 6
1.02 1.01 16.87 16 6
1.02 1.01 16.88 16 6
1.02 1.01 16.88 16 6
1.02 1.01 16.89 16 6
1.02 1.01 16.89 16 6
1.03 1.01 16.89 16 6
1.03 1.01 16.89 16 6
1.03 1.01 16.9 16 6
1.03 1.01 16.9 16 6
1.03 1.02 16.9 16 6
1.03 1.02 16.9 16 6
1.03 1.02 16.91 16 6
1.03 1.02 16.91 16 7
1.03 1.02 16.91 16 7
1.03 1.02 16.91 16 7
1.03 1.02 16.91 16 7
1.03 1.02 16.92 16 7
1.03 1.02 16.92 16 7
1.03 1.02 16.92 16 7
1.03 1.02 16.92 16 7
1.03 1.02 16.92 16 7
1.03 1.02 16.93 16 7
1.03 1.02 16.93 16 7
1.03 1.02 16.93 16 7
1.03 1.02 16.93 16 7
1.03 1.02 16.93 16 7
1.03 1.02 16.93 16 7
1.03 1.02 16.94 16 7
1.03 1.02 16.94 16 7
1.03 1.02 16.94 16 7
1.03 1.02 16.94 16 7
1.03 1.01 16.94 16 7
1.03 1.01 16.94 16 8
1.03 1.01 16.94 16 8
1.03 1.01 16.94 16 8
1.03 1.01 16.94 16 8
1.03 1.01 16.95 16 8
1.03 1.01 16.95 16 8
1.03 1.01 16.95 16 8
1.03 1.01 16.95 16 8
1.03 1.01 16.95 16 8
1.03 1.01 16.95 16 8
1.03 1.01 16.95 16 8
1.03 1.01 16.95 16 8
1.02 1.01 16.95 16 8
1.02 1 16.95 16 8
1.02 1 16.95 16 8
1.02 1 16.96 16 8
1.02 1 16.96 16 8
